INFO   | jvm 1    | 2015/08/14 15:08:36 | Updated MeasurementPoints count : 6000
INFO   | jvm 1    | 2015/08/14 15:11:09 | Duration of exectuing proxyview of PointsToPoll : 2109
INFO   | jvm 1    | 2015/08/14 15:11:09 | Duration of executing method getPointsToPoll in MilliSeconds : 2156
INFO   | jvm 1    | 2015/08/14 15:11:10 | Duration of executing method doPolling in MilliSeconds : 3219
INFO   | jvm 1    | 2015/08/14 15:11:10 | Duration of executing thread PollingOrSync in MilliSeconds : 3219
INFO   | jvm 1    | 2015/08/14 15:11:36 | Duration of updating measurementpoints in MilliSeconds : 179560
INFO   | jvm 1    | 2015/08/14 15:11:36 | Updated MeasurementPoints count : 6000
INFO   | jvm 1    | 2015/08/14 15:14:09 | Duration of exectuing proxyview of PointsToPoll : 2063
INFO   | jvm 1    | 2015/08/14 15:14:09 | Duration of executing method getPointsToPoll in MilliSeconds : 2110
INFO   | jvm 1    | 2015/08/14 15:14:10 | Duration of executing method doPolling in MilliSeconds : 3282
INFO   | jvm 1    | 2015/08/14 15:14:10 | Duration of executing thread PollingOrSync in MilliSeconds : 3282
INFO   | jvm 1    | 2015/08/14 15:14:33 | Duration of updating measurementpoints in MilliSeconds : 176835


INFO   | jvm 1    | 2015/08/14 15:38:10 | [PnLoggingConfigurator] Parsing configuration: Hardcoded default configuration from PnLogging
INFO   | jvm 1    | 2015/08/14 15:38:11 |  INFO [14-08-2015 15:38:10] init servlet multicalendar
INFO   | jvm 1    | 2015/08/14 15:38:11 |  INFO [14-08-2015 15:38:10] init servlet hitcountdata
INFO   | jvm 1    | 2015/08/14 15:38:11 |  INFO [14-08-2015 15:38:10] init servlet fielddefinitions
INFO   | jvm 1    | 2015/08/14 15:38:11 |  INFO [14-08-2015 15:38:10] init servlet exchangelink
INFO   | jvm 1    | 2015/08/14 15:38:11 |  INFO [14-08-2015 15:38:10] init servlet journalentrydata
INFO   | jvm 1    | 2015/08/14 15:38:13 | CATA 08/14/15 15:38:13 INFO [org.apache.coyote.AbstractProtocol start] Starting ProtocolHandler ["http-bio-18170"] 
INFO   | jvm 1    | 2015/08/14 15:38:13 | CATA 08/14/15 15:38:13 INFO [org.apache.coyote.AbstractProtocol start] Starting ProtocolHandler ["ajp-bio-18119"] 
INFO   | jvm 1    | 2015/08/14 15:38:13 | CATA 08/14/15 15:38:13 INFO [org.apache.catalina.startup.Catalina start] Server startup in 63499 ms 
INFO   | jvm 1    | 2015/08/14 15:38:21 |  INFO [14-08-2015 15:38:21] Initialization of polling and synchronizer successful.
INFO   | jvm 1    | 2015/08/14 15:38:21 | Duration of executing thread PollingOrSync in MilliSeconds : 47
INFO   | jvm 1    | 2015/08/14 15:42:24 | Duration of exectuing proxyview of PointsToPoll : 2562
INFO   | jvm 1    | 2015/08/14 15:42:24 | Duration of executing method getPointsToPoll in MilliSeconds : 2656
INFO   | jvm 1    | 2015/08/14 15:42:26 | Duration of executing method doPolling in MilliSeconds : 5109
INFO   | jvm 1    | 2015/08/14 15:42:26 | Duration of executing thread PollingOrSync in MilliSeconds : 5125
INFO   | jvm 1    | 2015/08/14 15:42:26 | Updated MeasurementPoints count : 6000
INFO   | jvm 1    | 2015/08/14 15:45:29 | Duration of updating measurementpoints in MilliSeconds : 182368
INFO   | jvm 1    | 2015/08/14 15:46:23 | Duration of exectuing proxyview of PointsToPoll : 2313
INFO   | jvm 1    | 2015/08/14 15:46:23 | Duration of executing method getPointsToPoll in MilliSeconds : 2360
INFO   | jvm 1    | 2015/08/14 15:46:25 | Duration of executing method doPolling in MilliSeconds : 3797
INFO   | jvm 1    | 2015/08/14 15:46:25 | Duration of executing thread PollingOrSync in MilliSeconds : 3797
INFO   | jvm 1    | 2015/08/14 15:46:25 | Updated MeasurementPoints count : 6000
